speed,rpm,tp,load,timing,area,acc_x,acc_y,acc_z,ethanol_fuel_level,coolant_temp,intake_manifold_pressure,afr,battery_voltage,fuel_level,mmcloud_time,cloud_index,latitude,longitude
15,1485,14,25,24,577,0.06,0.04,-0.02,,94,37,100,1318,100,570,1,-5.843028,-35.197472
14,1531,16,24,23,594.890015,-0.09,-0.27,-0.01,,94,40,100,1318,100,477,1,-5.843019,-35.197517
15,1618,17,25,27,663.600037,-0.08,-0.24,-0.02,,93,47,100,1315,100,1924,0,-5.843021,-35.197536
15,1595,20,31,21,826.849976,-0.01,-0.15,0.01,,93,55,100,1313,100,925,0,-5.843062,-35.197556
17,1538,20,37,18,955.260010,-0.17,-0.13,0.02,,92,55,100,1334,100,1926,0,-5.843095,-35.197559
18,1502,18,31,29,808.989990,0.06,0.10,-0.05,,92,54,100,1342,100,637,0,-5.843149,-35.197563
20,1550,15,23,26,655.750000,-0.68,-0.30,0.23,,92,38,100,1342,97,629,0,-5.843187,-35.197567
22,1467,15,25,-1,697.244995,-0.10,0.01,0.04,,92,39,100,1353,91,592,0,-5.843250,-35.197578
24,1173,15,36,-29,801.900024,0.07,0.15,-0.03,,92,41,100,1354,94,594,0,-5.843294,-35.197598
25,1101,14,35,-19,750.299988,0.21,-0.08,0,,92,35,100,1357,92,593,0,-5.843364,-35.197624
26,1099,14,34,-20,749.700012,0.05,0.08,-0.06,,92,34,100,1356,100,641,0,-5.843411,-35.197639
25,1083,14,32,-16,707.655029,-0.21,-0.10,-0.07,,92,33,100,1361,100,595,0,-5.843486,-35.197651
20,1097,14,32,-20,649.220032,-0.32,-0.09,-0.02,,92,33,100,1365,94,593,0,-5.843526,-35.197659
13,1054,14,32,-16,552.150024,-0.19,-0.09,-0.08,,92,33,100,1363,95,595,0,-5.843572,-35.197662
9,967,14,34,-12,508.905029,-0.04,-0.03,-0.02,,93,35,100,1359,100,596,0,-5.843590,-35.197662
8,936,14,35,-11,502.239990,0.01,0,0.03,,93,36,100,1371,100,631,0,-5.843614,-35.197666
8,942,14,35,-10,503.529999,-0.02,0.05,-0.07,,93,36,100,1353,100,803,0,-5.843629,-35.197674
9,1168,16,36,0,622.799988,0.05,0.14,0.04,,93,36,100,1371,92,592,0,-5.843650,-35.197689
11,1517,21,40,16,922.335022,-0.01,0.15,0.05,,94,54,100,1370,92,594,0,-5.843666,-35.197704
14,1864,21,32,13,911.719971,0.23,0.24,0.02,,94,54,100,1369,92,630,0,-5.843673,-35.197742
17,1810,21,38,12,1075.250000,0.21,0.11,-0.03,,94,55,100,1378,94,594,0,-5.843666,-35.197784
20,1859,20,36,17,1080.520020,0.62,0.24,-0.02,,94,54,100,1353,100,595,0,-5.843665,-35.197830
23,1560,19,44,17,1159.099976,0.43,0.32,0,,95,55,100,1372,95,613,0,-5.843659,-35.197880
25,1517,17,29,27,868.590027,0.14,0.11,0,,95,54,100,1376,100,594,0,-5.843658,-35.197945
26,1506,15,26,24,781.560059,0.12,0.01,0,,95,43,100,1372,100,632,0,-5.843662,-35.197990
26,1592,14,20,30,688.159973,-0.26,-0.16,0.06,,95,36,100,1381,100,596,0,-5.843662,-35.198063
26,1513,14,20,-11,669.989990,-0.08,-0.13,0.11,,95,35,100,1369,100,595,0,-5.843657,-35.198116
26,1197,14,36,-24,805.070007,0.29,0.09,0,,95,37,100,1361,94,592,0,-5.843649,-35.198193
25,1120,14,34,-23,743.400024,-0.11,-0.10,0.02,,95,34,100,1379,100,593,0,-5.843644,-35.198238
24,1091,14,32,-19,697.479980,0.15,0.07,-0.16,,95,34,100,1371,97,633,0,-5.843637,-35.198311
22,1089,14,33,-21,684.475037,-0.03,0.12,-0.04,,95,34,100,1378,94,596,0,-5.843634,-35.198357
17,1079,14,33,-19,619.750000,-0.15,-0.06,-0.08,,95,33,100,1373,91,595,0,-5.843627,-35.198406
11,1020,14,33,-15,532.400024,-0.17,-0.03,-0.05,,95,35,100,1382,91,597,0,-5.843624,-35.198433
7,936,15,35,-3,511.559998,-0.08,-0.01,-0.05,,95,39,100,1369,97,595,0,-5.843627,-35.198452
3,1006,18,58,-12,855.830017,-0.06,0.01,-0.05,,95,53,100,1376,91,632,0,-5.843630,-35.198456
0,928,17,58,-9,762.119995,0.01,0.02,0,,95,51,100,1360,93,596,0,-5.843634,-35.198456
0,947,17,58,-9,767.630005,0.01,-0.01,0,,95,50,100,1356,100,595,0,-5.843632,-35.198460
0,915,16,40,-1,503,0.03,0,0.02,,95,42,100,1337,94,595,0,-5.843633,-35.198460
2,963,18,60,-9,856.530029,0.07,-0.04,0.04,,95,52,100,1334,100,634,0,-5.843635,-35.198463
5,1001,18,60,-11,910.325012,0.06,-0.02,0.02,,94,54,100,1342,100,594,0,-5.843640,-35.198471
6,928,16,55,-9,771.039978,0.04,0.02,0.01,,94,47,100,1329,100,594,0,-5.843647,-35.198479
7,923,15,47,-11,654.209961,0.01,-0.01,0,,94,44,100,1332,100,593,0,-5.843660,-35.198490
8,1055,14,38,10,564.650024,-0.01,-0.02,0.05,,94,36,100,1325,100,593,0,-5.843670,-35.198502
7,988,16,36,-2,556.420044,0.04,-0.02,0.01,,94,40,100,1330,100,632,0,-5.843687,-35.198513
7,975,17,50,-14,762.375000,0.02,-0.04,0.03,,94,48,100,1320,100,594,0,-5.843700,-35.198513
7,954,16,49,-13,715.119995,-0.14,-0.02,0.01,,93,46,100,1323,94,595,0,-5.843720,-35.198521
6,964,18,55,-11,843.020020,-0.03,0.01,-0.01,,93,52,100,1319,100,595,0,-5.843731,-35.198521
4,1008,20,63,-12,1007.679993,-0.09,-0.03,-0.03,,93,57,100,1318,97,614,0,-5.843744,-35.198524
0,981,18,64,-12,889.920044,0.02,-0.01,0.01,,93,55,100,1318,100,625,0,-5.843745,-35.198524
0,973,18,63,-10,873.494995,0.08,0,0.05,,92,54,100,1337,100,598,0,-5.843751,-35.198528
4,1181,21,61,10,1066.324951,0.19,0.10,0.07,,92,57,100,1316,100,593,0,-5.843756,-35.198528
9,1646,89,52,13,3216.530029,0.13,0.21,0.03,,92,74,100,1326,96,460,1,-5.843765,-35.198547
14,2158,89,50,8,3538.560059,0.15,0.23,0.10,,92,84,100,1317,100,462,2,-5.843775,-35.198566
24,2804,89,75,10,5793.479980,0.25,0.13,0.15,,92,136,100,1323,100,628,2,-5.843771,-35.198631
34,2513,88,84,1,6674.669922,0.23,-0.03,0.14,,92,144,100,1323,100,595,2,-5.843764,-35.198696
42,2531,89,89,0,7487.304688,0.22,-0.03,0.13,,92,155,100,1318,100,462,2,-5.843745,-35.198814
51,2612,32,99,1,4359,0.16,-0.02,0.10,,92,141,100,1318,100,462,2,-5.843737,-35.198914
55,2141,39,72,19,3836.034912,0.09,0.07,-0.02,,92,94,100,1312,96,475,1,-5.843722,-35.199074
54,1610,15,20,-26,1150.700073,-0.16,-0.01,-0.05,,93,38,100,1318,87,614,0,-5.843714,-35.199177
47,1400,14,31,0,1092,-0.23,0.06,-0.17,,93,35,100,1424,92,595,0,-5.843706,-35.199322
36,1510,16,29,0,1010.750000,-0.27,0.05,-0.19,,94,32,100,1554,87,606,0,-5.843694,-35.199394
24,1345,15,33,0,810.825012,-0.23,0,-0.14,,95,37,100,1497,82,604,0,-5.843682,-35.199478
18,1190,17,42,11,866.999939,0,0.01,0.02,,95,41,100,1394,100,627,0,-5.843679,-35.199512
20,2386,89,45,9,3667.950195,0.19,-0.02,0.10,,96,89,100,1317,100,467,1,-5.843673,-35.199574
28,2422,89,60,8,4981.680176,0.25,-0.02,0.06,,96,113,100,1315,100,593,2,-5.843665,-35.199623
34,2197,89,72,5,5881.410156,0.15,-0.01,0.11,,96,116,100,1321,100,592,2,-5.843650,-35.199726
42,2463,89,81,1,6988.245117,0.18,-0.07,0.13,,96,144,100,1335,100,594,2,-5.843643,-35.199802
50,2622,39,93,0,4663.229980,0.21,0.02,0.12,,96,151,100,1339,100,628,2,-5.843626,-35.199947
56,2649,51,95,-1,5850.494629,0.25,0.09,0.10,,95,160,100,1348,100,598,2,-5.843616,-35.200054
62,2610,36,92,1,4781.700195,0.11,0.03,0.06,,95,143,100,1353,100,592,2,-5.843593,-35.200233
64,1967,89,52,12,6302.859863,0.05,0.02,0.03,,94,80,100,1353,100,593,2,-5.843585,-35.200356
64,1702,89,69,31,7050.330078,0.05,0,-0.01,,94,75,100,1353,96,593,2,-5.843561,-35.200546
63,1530,25,45,11,2176.199951,0.06,0,-0.01,,94,60,100,1343,96,627,1,-5.843547,-35.200672
63,2317,89,65,5,7178.879883,0.09,-0.01,0.04,,94,106,100,1361,100,597,2,-5.843532,-35.200855
66,2416,28,63,12,3364.320068,0.04,-0.02,0.06,,94,108,100,1364,100,591,1,-5.843522,-35.200985
67,2101,84,67,8,7035.669922,0.10,0.01,0.08,,95,103,100,1353,100,593,2,-5.843513,-35.201180
69,2332,89,68,7,7693.919922,0.08,0.04,0.04,,95,118,100,1361,96,478,2,-5.843508,-35.201313
71,2356,29,64,14,3547.799805,0.07,0.09,0,,95,105,100,1356,97,613,1,-5.843497,-35.201511
71,1863,31,56,12,3151.504883,0.01,0.11,0.03,,95,83,100,1371,91,594,1,-5.843482,-35.201649
70,1631,16,35,33,1696.275024,0.01,0.19,-0.02,,95,54,100,1365,92,594,0,-5.843441,-35.201851
68,1523,15,19,0,1315.004883,-0.13,0.12,-0.09,,95,31,100,1389,93,594,0,-5.843410,-35.201984
62,1563,14,18,0,1185.200073,-0.08,0.11,-0.06,,95,24,100,1506,77,627,0,-5.843342,-35.202160
59,1569,14,20,0,1172.755005,-0.05,0.12,-0.04,,95,26,100,1563,85,597,0,-5.843292,-35.202267
56,1515,14,21,0,1122.275024,-0.01,0.12,-0.01,,95,25,100,1564,91,594,0,-5.843210,-35.202415
55,1525,14,21,0,1111.500000,-0.03,0.10,-0.01,,95,25,100,1562,82,594,0,-5.843148,-35.202503
55,1536,14,22,0,1130.359985,-0.02,0.12,0,,94,25,100,1563,89,595,0,-5.843046,-35.202633
54,1517,14,22,0,1108.460083,-0.12,0.09,-0.02,,94,24,100,1564,83,626,0,-5.842974,-35.202709
50,1486,14,22,0,1038.959961,-0.24,0.09,-0.12,,94,24,100,1564,82,597,0,-5.842857,-35.202812
42,1516,14,22,0,933.119995,-0.25,0.03,-0.11,,94,24,100,1572,77,591,0,-5.842791,-35.202866
33,1510,14,22,0,800.250000,-0.23,0.01,-0.18,,93,24,100,1560,80,593,0,-5.842705,-35.202923
23,1256,16,31,-20,771.119995,-0.10,0.02,-0.12,,93,36,100,1495,82,627,0,-5.842661,-35.202953
20,1288,16,36,-4,808.640015,-0.04,0,0,,92,37,100,1389,100,597,0,-5.842609,-35.202980
22,1791,23,37,-2,1206.844971,0.07,0.01,0.04,,92,54,100,1357,89,594,0,-5.842573,-35.202999
26,2053,89,43,7,3778.785156,0.12,0.01,0.05,,91,80,100,1361,100,595,1,-5.842507,-35.203033
31,1996,89,58,4,4848.719727,0.11,0.01,0.11,,91,91,100,1383,100,595,2,-5.842456,-35.203060
37,2243,89,70,3,5961.504883,0.21,0.06,0.09,,91,118,100,1387,100,649,2,-5.842365,-35.203102
44,2445,89,79,3,6977.174805,0.26,0.03,0.19,,90,134,100,1394,100,841,2,-5.842291,-35.203144
53,2639,32,92,2,4233.274902,0.14,-0.02,0.12,,90,141,100,1389,100,650,1,-5.842161,-35.203209
59,2498,81,78,2,7259.630371,0.12,-0.01,0.10,,90,137,100,1389,100,651,2,-5.842008,-35.203289
65,2661,38,96,0,5201.104980,0.20,0.04,0.09,,91,149,100,1386,100,993,2,-5.841899,-35.203346
70,2700,41,94,0,5576,0.03,-0.09,0.14,,91,150,100,1396,100,648,2,-5.841716,-35.203442
75,2668,40,92,1,5567.779785,0.06,0.02,0.09,,92,148,100,1389,100,660,2,-5.841586,-35.203503
80,2686,40,99,0,5983.969727,0.16,0.04,0.05,,93,149,100,1395,100,663,2,-5.841381,-35.203613
85,2770,42,96,0,6307.850098,-0.03,0.09,0.13,,93,153,100,1400,100,635,2,-5.841236,-35.203690
89,2914,89,100,0,11164.230469,0,-0.04,0.11,,94,164,100,1393,100,490,2,-5.841004,-35.203808
94,2877,34,100,0,6088.689941,0.17,0.08,0.02,,96,146,100,1391,100,633,2,-5.840842,-35.203892
96,2362,38,65,5,4960.409668,0.12,0.14,0.02,,96,112,100,1394,94,629,2,-5.840592,-35.204025
98,2694,89,87,1,10724.450195,0.12,0.09,0.01,,97,153,100,1389,100,483,2,-5.840422,-35.204109
99,2475,17,26,42,2609.375000,0.01,-0.03,-0.02,,97,55,100,1394,100,730,1,-5.840163,-35.204239
98,1886,12,10,0,1666.440063,-0.06,0.03,-0.05,,97,20,100,1446,97,639,0,-5.839993,-35.204327
92,1782,12,10,0,1520.819946,-0.10,0.06,-0.11,,96,19,100,1570,85,644,0,-5.839750,-35.204460
88,1697,13,13,0,1513.484985,0.02,0.01,-0.02,,95,21,100,1564,100,655,0,-5.839595,-35.204540
86,1742,23,37,11,2485.830078,0.03,-0.04,-0.03,,94,57,100,1458,97,634,1,-5.839366,-35.204655
85,1649,12,16,21,1438.744995,-0.07,0.02,-0.04,,93,34,100,1373,97,637,0,-5.839218,-35.204735
79,1558,12,13,0,1268.680054,-0.19,0,-0.06,,93,19,100,1460,87,634,0,-5.839009,-35.204853
72,1603,14,16,0,1321.320068,-0.02,0.10,-0.05,,92,24,100,1564,85,640,0,-5.838883,-35.204922
66,1586,14,18,0,1254.119995,-0.08,0,0.04,,92,24,100,1565,93,644,0,-5.838705,-35.205009
63,1561,14,19,0,1214.010010,-0.07,-0.02,0.02,,92,24,100,1565,97,939,0,-5.838591,-35.205067
59,1511,13,20,0,1110.344971,-0.16,-0.01,-0.07,,91,23,100,1565,91,667,0,-5.838444,-35.205147
52,1507,14,21,0,1061.055054,-0.16,0.06,-0.14,,91,24,100,1570,91,663,0,-5.838350,-35.205196
43,1495,14,23,0,955.349976,-0.22,0.07,-0.09,,91,24,100,1568,77,667,0,-5.838224,-35.205254
35,1541,14,21,0,823.479980,-0.15,0.17,-0.10,,91,24,100,1569,72,641,0,-5.838153,-35.205280
28,1505,14,22,0,726.250000,-0.09,0.12,-0.06,,91,25,100,1572,76,649,0,-5.838065,-35.205299
26,1605,19,33,21,1033.974976,-0.01,0.10,0.04,,91,42,100,1459,87,648,0,-5.838011,-35.205299
27,1824,23,31,20,1195.959961,0.05,0.11,0.03,,91,58,100,1364,96,650,0,-5.837929,-35.205296
29,1802,25,39,18,1462.680054,0.07,0.01,0.05,,91,63,100,1359,100,655,0,-5.837873,-35.205280
31,1582,28,52,13,1818.529907,0.05,-0.06,0.05,,91,66,100,1378,100,1012,0,-5.837781,-35.205261
32,1490,18,35,31,1102.150024,0.02,-0.17,0,,91,58,100,1387,100,888,0,-5.837716,-35.205250
32,1515,14,23,29,801.625000,0.01,-0.24,-0.03,,91,38,100,1392,100,661,0,-5.837615,-35.205254
32,1519,16,23,25,857.724976,-0.01,-0.33,-0.02,,91,38,100,1391,100,647,0,-5.837553,-35.205273
32,1531,16,25,23,892.335022,-0.01,-0.34,0.02,,91,43,100,1389,100,663,0,-5.837472,-35.205330
33,1530,21,35,22,1234.200073,0.02,-0.26,-0.01,,91,57,100,1389,100,666,0,-5.837435,-35.205376
33,1515,22,40,23,1355.974976,0.02,-0.32,0,,92,60,100,1401,100,662,0,-5.837403,-35.205471
34,1519,20,34,28,1196.459961,-0.06,-0.33,0.03,,92,60,100,1389,100,671,0,-5.837401,-35.205540
35,1524,20,32,29,1180.540039,-0.02,-0.33,-0.01,,92,59,100,1392,100,663,0,-5.837429,-35.205639
35,1518,16,29,29,997.760010,0,-0.25,-0.01,,92,54,100,1407,100,663,0,-5.837467,-35.205692
35,1530,14,26,30,893.650024,-0.01,-0.12,0,,92,42,100,1403,100,649,0,-5.837548,-35.205757
32,1483,14,23,0,792.825012,-0.13,0.08,-0.08,,92,34,100,1417,87,654,0,-5.837602,-35.205791
26,1259,15,27,0,731.135071,-0.05,0.14,-0.03,,93,35,100,1473,80,654,0,-5.837666,-35.205845
24,1178,15,38,-22,830.179993,-0.04,0.16,0,,93,38,100,1389,83,633,0,-5.837695,-35.205879
22,1109,14,34,-20,702.520020,-0.02,0.12,-0.01,,93,33,100,1386,86,655,0,-5.837725,-35.205940
21,1098,15,33,-19,701.460022,-0.02,0.09,-0.01,,94,34,100,1398,89,659,0,-5.837739,-35.205982
20,1094,15,34,-17,700.380005,-0.02,0.08,-0.02,,94,35,100,1389,85,637,0,-5.837751,-35.206043
19,1101,15,35,7,702.270020,0.02,0.06,-0.02,,94,34,100,1401,91,651,0,-5.837759,-35.206085
19,1542,15,22,20,623.609985,0.01,0,0.01,,94,38,100,1405,94,643,0,-5.837766,-35.206135
19,1492,15,24,3,643.279968,-0.01,0,0.01,,94,39,100,1404,100,658,0,-5.837772,-35.206177
18,1364,17,40,-32,888.559998,-0.07,0.01,-0.04,,94,47,100,1401,97,653,0,-5.837779,-35.206223
13,1095,15,38,-21,661.724976,-0.17,0.02,-0.11,,93,38,100,1389,87,641,0,-5.837781,-35.206257
5,879,20,40,11,647.775024,-0.12,0.02,-0.07,,93,53,100,1396,87,634,0,-5.837784,-35.206272
0,984,19,63,-10,908.460022,-0.03,0.02,-0.02,,93,54,100,1387,96,632,0,-5.837786,-35.206276
0,968,19,64,-11,917.760010,0.02,0.02,0.01,,93,55,100,1373,92,632,0,-5.837787,-35.206276
0,955,14,58,-5,682.950012,0.01,0.01,0.01,,92,43,100,1371,100,628,0,-5.837786,-35.206276
0,953,20,60,-15,885.899963,0.08,0.03,0.05,,92,55,100,1353,100,633,0,-5.837785,-35.206280
3,996,19,65,-11,984.640015,0.07,0.01,0.05,,92,56,100,1351,97,633,0,-5.837786,-35.206284
5,1013,20,67,5,1084.680054,0.06,0.02,0.07,,92,56,100,1352,100,653,0,-5.837786,-35.206299
8,1280,20,47,12,902,0.08,0,0.08,,92,61,100,1348,100,641,0,-5.837787,-35.206318
10,1462,23,46,14,1053.359985,0.07,0.02,0.04,,92,61,100,1348,96,644,0,-5.837788,-35.206345
13,1862,26,39,14,1160.119995,0.10,0.01,0.07,,92,63,100,1338,100,687,0,-5.837790,-35.206367
17,1894,27,39,12,1286.319946,0.09,0.01,0.05,,91,68,100,1343,100,659,0,-5.837796,-35.206417
19,1909,32,42,15,1558.244995,0.09,-0.03,0.10,,91,72,100,1336,100,633,0,-5.837800,-35.206455
23,1915,89,43,12,3568.950195,0.11,-0.01,0.06,,91,75,100,1342,100,628,1,-5.837806,-35.206524
26,1737,89,61,11,4627.095215,0.11,0.04,0.07,,91,80,100,1341,100,630,2,-5.837813,-35.206577
30,1854,89,60,11,4839.300293,0.11,0.04,0.07,,91,85,100,1350,100,630,2,-5.837824,-35.206661
33,1903,89,59,10,4969.380371,0.14,0.06,0.06,,91,86,100,1349,100,634,2,-5.837832,-35.206722
37,2002,89,56,10,5069.430176,0.13,0.03,0.05,,91,89,100,1353,100,630,2,-5.837844,-35.206833
41,2037,89,58,11,5413.814941,0.07,0,0.05,,91,92,100,1369,100,646,2,-5.837853,-35.206909
44,2142,89,60,8,5741.840332,0.11,-0.02,0.08,,92,100,100,1363,100,655,2,-5.837866,-35.207035
48,2232,89,64,9,6233.919922,0.18,0.03,0.05,,92,109,100,1360,100,642,2,-5.837878,-35.207127
51,2146,89,63,10,6296.219727,0.13,0.01,0.06,,92,104,100,1380,100,661,2,-5.837895,-35.207275
54,2143,89,61,10,6349.725586,0.07,0,0.05,,93,101,100,1376,100,638,2,-5.837908,-35.207378
56,2153,89,60,11,6410.739746,0.08,-0.01,0.06,,93,100,100,1373,100,661,2,-5.837930,-35.207542
59,1998,32,55,12,2962.860107,0.02,-0.03,0.08,,94,87,100,1362,100,673,1,-5.837950,-35.207657
60,1829,22,52,31,2256.239990,0.07,0.08,0.06,,94,72,100,1378,92,664,1,-5.837976,-35.207832
62,1456,14,24,25,1228.079956,-0.01,0.01,0.01,,95,36,100,1386,100,639,0,-5.837994,-35.207954
61,1531,12,21,0,1119.709961,-0.14,0.01,-0.04,,95,31,100,1440,82,630,0,-5.838021,-35.208138
57,1529,14,21,0,1142.310059,-0.16,0,-0.10,,96,26,100,1564,74,626,0,-5.838037,-35.208252
51,1526,14,23,0,1082.619995,-0.22,-0.03,-0.11,,96,26,100,1568,97,667,0,-5.838061,-35.208408
44,1512,14,23,0,975.520020,-0.23,0.07,-0.12,,96,25,100,1571,94,671,0,-5.838077,-35.208496
37,1514,14,23,0,874.200012,-0.24,0.06,-0.17,,96,25,100,1567,80,663,0,-5.838094,-35.208607
28,1479,14,24,0,748.539978,-0.28,0.01,-0.16,,96,26,100,1552,66,656,0,-5.838103,-35.208668
19,1161,15,38,-24,758.384949,-0.14,0.02,0.01,,95,37,100,1440,82,647,0,-5.838113,-35.208729
18,1600,20,27,0,810,0.06,0.01,0.01,,95,44,100,1363,74,702,0,-5.838120,-35.208763
20,1827,23,35,9,1134.925049,0.08,0.04,0.04,,94,60,100,1376,100,677,0,-5.838128,-35.208820
23,1822,32,46,7,1732.589966,0.08,-0.02,0.05,,94,72,100,1384,100,655,0,-5.838135,-35.208862
27,1683,89,55,12,4339.030273,0.10,0,0.04,,93,75,100,1380,100,652,1,-5.838145,-35.208939
30,1581,29,58,13,1971.640015,0.07,0.02,0.04,,92,71,100,1383,100,655,0,-5.838156,-35.209000
33,1500,21,50,22,1494,0.01,0.02,0.03,,92,57,100,1383,100,669,0,-5.838172,-35.209091
33,1509,13,21,6,758.429993,-0.04,0,-0.03,,91,37,100,1385,97,629,0,-5.838181,-35.209156
30,1482,13,24,0,751.140015,-0.13,-0.04,-0.09,,91,24,100,1457,100,634,0,-5.838197,-35.209248
24,1144,17,31,-34,782.100037,-0.11,-0.01,-0.09,,91,35,100,1453,93,645,0,-5.838206,-35.209297
17,1142,15,36,-22,700.130005,-0.04,0.02,0.09,,91,36,100,1349,86,675,0,-5.838218,-35.209351
14,1796,24,35,0,1028.019897,0.07,-0.01,0.06,,90,52,100,1368,100,642,0,-5.838225,-35.209377
16,2167,59,41,9,2299.094971,0.18,-0.03,0.13,,91,82,100,1372,100,665,1,-5.838229,-35.209423
19,2183,89,45,11,3546.560059,0.13,-0.04,0.13,,91,84,100,1379,100,663,1,-5.838236,-35.209461
23,2284,89,51,11,4138.080078,0.16,-0.02,0.14,,91,96,100,1370,100,651,1,-5.838243,-35.209522
27,2007,89,62,10,4853.614746,0.17,0.04,0.13,,91,94,100,1382,100,671,2,-5.838251,-35.209576
31,2139,89,64,10,5243.524902,0.16,0,0.08,,91,104,100,1378,100,664,2,-5.838263,-35.209663
35,2188,89,62,10,5377.679688,0.17,0.01,0.09,,91,105,100,1378,100,666,2,-5.838276,-35.209728
39,2191,89,63,10,5656.410156,0.16,0.01,0.08,,92,105,100,1369,100,641,2,-5.838288,-35.209839
